frame,mode,baseline_best_idx,scored_best_idx,baseline_iou,scored_iou,delta,sam_best_mask_png,score_best_mask_png,sequence
23,default_no_gt,5,1,0.0,0.9105267963115128,0.9105267963115128,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00023_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00023_best.png,lucia
24,default_no_gt,5,1,0.0,0.9248341586471084,0.9248341586471084,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00024_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00024_best.png,lucia
25,default_no_gt,5,1,0.0,0.9295135441781308,0.9295135441781308,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00025_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00025_best.png,lucia
26,default_no_gt,5,8,0.0,0.0689725747032337,0.0689725747032337,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00026_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00026_best.png,lucia
27,default_no_gt,5,1,0.0,0.9174414642457284,0.9174414642457284,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00027_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00027_best.png,lucia
28,default_no_gt,5,1,0.0,0.9186546154985924,0.9186546154985924,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00028_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00028_best.png,lucia
29,default_no_gt,5,1,0.0,0.924900388359308,0.924900388359308,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00029_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00029_best.png,lucia
30,default_no_gt,5,8,0.0,0.0835791025911101,0.0835791025911101,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00030_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00030_best.png,lucia
31,default_no_gt,5,7,0.0,0.1511413358637777,0.1511413358637777,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00031_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00031_best.png,lucia
32,default_no_gt,5,7,0.0,0.143666701647602,0.143666701647602,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00032_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00032_best.png,lucia
33,default_no_gt,5,7,0.0,0.1302638385928608,0.1302638385928608,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00033_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00033_best.png,lucia
34,default_no_gt,5,8,0.0,0.0856705762366139,0.0856705762366139,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00034_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00034_best.png,lucia
35,default_no_gt,5,7,0.0,0.1208396560445118,0.1208396560445118,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00035_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00035_best.png,lucia
