Variant,Mean_IoU,Gain_vs_SAM,Median_Gain_vs_SAM,Num_Sequences,Drop_vs_Full
default_full,0.7333641750719281,0.11253043171148167,0.0037849477926159983,40,0.0
no_area,0.7160939748852655,0.09526023152481904,0.0004815209279715617,40,0.017270200186662588
no_center,0.7175653782421265,0.09673163488168003,0.004159450283101409,40,0.015798796829801565
no_border,0.6874536093697807,0.06661986600933437,0.004260395024621933,40,0.045910565702147355
no_silhouette,0.7097469759696556,0.08891323260920926,0.001506332424643359,40,0.023617199102272446
