ablation,mean_baseline_iou,mean_scored_iou,mean_delta_vs_sam,median_delta_vs_sam,num_sequences
default_full,0.6208337433604465,0.7200262800024538,0.09919253664200738,0.002588479497594257,40
no_area,0.6208337433604465,0.7204560953174741,0.0996223519570276,0.0004459306621290743,40
no_border,0.6208337433604465,0.6638266059910214,0.04299286263057494,0.004260395024621933,40
no_center,0.6208337433604465,0.6910617668416252,0.0702280234811788,0.002588479497594257,40
no_silhouette,0.6208337433604465,0.7048148939135082,0.08398115055306168,0.0016530554649752298,40
