ablation,Mean_IoU,Gain_vs_SAM
no_area,0.7204560953174741,0.0996223519570276
default_full,0.7200262800024538,0.09919253664200738
no_silhouette,0.7048148939135082,0.08398115055306168
no_center,0.6910617668416252,0.0702280234811788
no_border,0.6638266059910214,0.04299286263057494
