sequence,ablation,baseline_mean_iou,scored_mean_iou,mean_delta_vs_sam,n_frames,best_improve_frame,best_improve_delta,worst_drop_frame,worst_drop_delta,w_area,w_center,w_border,w_silhouette,q_border,t_area
dog-agility,no_silhouette,0.9039310932748579,0.8525652838757094,-0.05136580939914839,25,00024,0.8906065134815369,00021,-0.9699148492484143,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.4,0.3
drift-chicane,default_full,0.5583224393560866,0.8692124946958815,0.31089005533979486,52,00008,0.9345430978613092,00022,-0.02917449304748143,0.25,0.25,0.25,0.25,0.4,0.3
drift-chicane,no_area,0.5583224393560866,0.8871511609020566,0.32882872154597015,52,00008,0.9345430978613092,00022,-0.02917449304748143,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3
drift-chicane,no_center,0.5583224393560866,0.903072766380483,0.3447503270243964,52,00008,0.9345430978613092,00024,-0.04255743019454805,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.4,0.3
drift-chicane,no_border,0.5583224393560866,0.7096628379860679,0.15134039862998125,52,00013,0.9272588055130169,00022,-0.02917449304748143,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.4,0.3
drift-chicane,no_silhouette,0.5583224393560866,0.8578599510926784,0.2995375117365919,52,00008,0.9505147791431419,00037,-0.22406242894311978,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.4,0.3
drift-straight,default_full,0.5257067553920508,0.24103903014972514,-0.2846677252423256,50,00019,0.36995249406175773,00026,-0.9841088642458505,0.25,0.25,0.25,0.25,0.4,0.3
drift-straight,no_area,0.5257067553920508,0.5786186070263039,0.052911851634253076,50,00017,0.9760112600208065,00027,-0.9875720754471121,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3
drift-straight,no_center,0.5257067553920508,0.39030656924082857,-0.1354001861512222,50,00023,0.981874591770085,00015,-0.9775306061510899,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.4,0.3
drift-straight,no_border,0.5257067553920508,0.19448346435378006,-0.3312232910382707,50,00028,0.000805306945023565,00027,-0.9875720754471121,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.4,0.3
drift-straight,no_silhouette,0.5257067553920508,0.19037633266592194,-0.33533042272612884,50,00019,0.36995249406175773,00027,-0.9875720754471121,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.4,0.3
drift-turn,default_full,0.36528443080719775,0.48901936438844684,0.12373493358124911,64,00041,0.9742924004577832,00059,-0.3606493173877917,0.25,0.25,0.25,0.25,0.4,0.3
drift-turn,no_area,0.36528443080719775,0.575614227844285,0.21032979703708726,64,00000,0.972628377588022,00052,-0.005179283307847227,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3
drift-turn,no_center,0.36528443080719775,0.5337516247079632,0.1684671939007655,64,00041,0.9742924004577832,00059,-0.3606493173877917,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.4,0.3
drift-turn,no_border,0.36528443080719775,0.5039801216413006,0.13869569083410282,64,00041,0.9742924004577832,00059,-0.3606493173877917,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.4,0.3
drift-turn,no_silhouette,0.36528443080719775,0.4564147277644436,0.09113029695724587,64,00041,0.9714795008912656,00060,-0.7125188253523878,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.4,0.3
elephant,default_full,0.9647892339167464,0.9634170844313719,-0.0013721494853746353,80,00012,0.018145573203235066,00055,-0.01872514880033327,0.25,0.25,0.25,0.25,0.4,0.3
elephant,no_area,0.9647892339167464,0.9423290754733546,-0.0224601584433919,80,00012,0.018145573203235066,00007,-0.4855951008992522,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3
elephant,no_center,0.9647892339167464,0.9634170844313719,-0.0013721494853746353,80,00012,0.018145573203235066,00055,-0.01872514880033327,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.4,0.3
elephant,no_border,0.9647892339167464,0.9634170844313719,-0.0013721494853746353,80,00012,0.018145573203235066,00055,-0.01872514880033327,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.4,0.3
elephant,no_silhouette,0.9647892339167464,0.9634170844313719,-0.0013721494853746353,80,00012,0.018145573203235066,00055,-0.01872514880033327,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.4,0.3
flamingo,default_full,0.04794744714123153,0.911230620455887,0.8632831733146553,80,00005,0.9689596952249016,00075,-0.011363578950911002,0.25,0.25,0.25,0.25,0.4,0.3
flamingo,no_area,0.04794744714123153,0.6837621090090863,0.6358146618678548,80,00002,0.9631995262467746,00003,-0.9609513367630935,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3
flamingo,no_center,0.04794744714123153,0.6481211018468677,0.6001736547056362,80,00028,0.956498673740053,00003,-0.9609513367630935,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.4,0.3
flamingo,no_border,0.04794744714123153,0.36270665265291946,0.31475920551168796,80,00004,0.9628416242779549,00075,-0.011363578950911002,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.4,0.3
flamingo,no_silhouette,0.04794744714123153,0.9500693843593723,0.9021219372181408,80,00005,0.9689596952249016,00075,-0.011363578950911002,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.4,0.3
goat,default_full,0.9217250088145996,0.9258632397081358,0.004138230893536057,90,00023,0.024942407405462386,00083,-0.011785293734542734,0.25,0.25,0.25,0.25,0.4,0.3
goat,no_area,0.9217250088145996,0.9246885427419289,0.0029635339273294376,90,00023,0.024942407405462386,00016,-0.047330707520963355,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3
goat,no_center,0.9217250088145996,0.9258632397081358,0.004138230893536057,90,00023,0.024942407405462386,00083,-0.011785293734542734,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.4,0.3
goat,no_border,0.9217250088145996,0.9258632397081358,0.004138230893536057,90,00023,0.024942407405462386,00083,-0.011785293734542734,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.4,0.3
goat,no_silhouette,0.9217250088145996,0.9260231399639063,0.004298131149306676,90,00015,0.029130972586951187,00083,-0.011785293734542734,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.4,0.3
hike,default_full,0.8968661560700536,0.767834659723374,-0.12903149634667968,80,00035,0.960821178739738,00048,-0.9647369345283717,0.25,0.25,0.25,0.25,0.4,0.3
hike,no_area,0.8968661560700536,0.9601667558789323,0.06330059980887867,80,00035,0.960821178739738,00075,-0.0018932497283726812,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3
hike,no_center,0.8968661560700536,0.719920310101352,-0.17694584596870172,80,00035,0.960821178739738,00048,-0.9647369345283717,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.4,0.3
hike,no_border,0.8968661560700536,0.023851104451246042,-0.8730150516188075,80,00017,0.00242701060220607,00060,-0.9660133557739291,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.4,0.3
hike,no_silhouette,0.8968661560700536,0.5403128560210744,-0.3565533000489792,80,00035,0.960821178739738,00075,-0.9658119658119658,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.4,0.3
hockey,default_full,0.06340712066595744,0.11803197117116189,0.05462485050520441,75,00074,0.40673376278423135,00006,-0.00953974059704904,0.25,0.25,0.25,0.25,0.4,0.3
hockey,no_area,0.06340712066595744,0.11752425460547926,0.054117133939521764,75,00074,0.40673376278423135,00006,-0.00953974059704904,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3
hockey,no_center,0.06340712066595744,0.11620742462670611,0.05280030396074864,75,00074,0.40673376278423135,00006,-0.00953974059704904,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.4,0.3
hockey,no_border,0.06340712066595744,0.11601842776683377,0.05261130710087632,75,00074,0.40673376278423135,00006,-0.00953974059704904,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.4,0.3
hockey,no_silhouette,0.06340712066595744,0.12201096695830091,0.058603846292343435,75,00074,0.40673376278423135,00059,-0.004865722954727564,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.4,0.3
horsejump-high,default_full,0.61485611115469,0.7153183733627638,0.10046226220807387,50,00036,0.5712615880718053,00001,-0.4975248545593264,0.25,0.25,0.25,0.25,0.4,0.3
horsejump-high,no_area,0.61485611115469,0.6117504385503391,-0.003105672604350893,50,00007,0.5550971180971781,00027,-0.5334237974583246,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3
horsejump-high,no_center,0.61485611115469,0.7153183733627638,0.10046226220807387,50,00036,0.5712615880718053,00001,-0.4975248545593264,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.4,0.3
horsejump-high,no_border,0.61485611115469,0.6608420865126987,0.045985975358008836,50,00017,0.5569038633967831,00026,-0.5223776919520763,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.4,0.3
horsejump-high,no_silhouette,0.61485611115469,0.7383951009763582,0.12353898982166822,50,00036,0.5712615880718053,00042,0.0016748903799945758,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.4,0.3
horsejump-low,default_full,0.7110029417267086,0.7307337308432047,0.019730789116495808,60,00033,0.5540519649354703,00059,-0.04263055797343185,0.25,0.25,0.25,0.25,0.4,0.3
horsejump-low,no_area,0.7110029417267086,0.7157073431435492,0.004704401416840424,60,00036,0.0544272123714884,00028,-0.0648732034849494,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3
horsejump-low,no_center,0.7110029417267086,0.7288795322129853,0.01787659048627636,60,00033,0.5540519649354703,00028,-0.0648732034849494,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.4,0.3
horsejump-low,no_border,0.7110029417267086,0.7217695163705339,0.010766574643824986,60,00036,0.0544272123714884,00059,-0.04263055797343185,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.4,0.3
horsejump-low,no_silhouette,0.7110029417267086,0.7319646420084136,0.02096170028170463,60,00033,0.5540519649354703,00024,-0.07755019566514931,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.4,0.3
