setting,mean_baseline_iou,mean_scored_iou,mean_delta_vs_sam,median_delta_vs_sam,num_sequences
default_no_gt,0.6208337433604465,0.7200262800024537,0.09919253664200739,0.002588479497594387,40
optimized,0.6208337433604465,0.7780685380402295,0.15723479467978302,0.012003346281928784,40
