trial,class_id,num_images,min_area_ratio,k_area,t_area,w_area,w_center,w_border,w_sil,sigmoid_on,sam_mean_iou,ours_mean_iou
1,7,30,0,0.6815740776728774,0.26082103181399885,0.0242474760955521,0.09824845588401525,0.08050665351540279,0.26278288180989406,True,0.7422632603756948,0.6367567697411766
2,7,30,0,13.004299432658348,0.7261812070948171,0.03253410245534664,0.024776205199469506,0.18500146158761446,0.35862919539399996,True,0.7422632603756948,0.603958395457233
3,7,30,0,2.566025757387873,0.11293410911963941,0.05994749523931183,0.3216971201106719,0.3711241906604199,0.10587568671374575,True,0.7422632603756948,0.6839770839500647
4,7,30,0,0.19271688654918573,0.2570524367643172,0.16877829552025336,0.07076915829819765,0.3567920093004561,0.65430050080099,True,0.7422632603756948,0.603958395457233
5,7,30,0,21.250023054947473,0.3064407396814872,0.09658261846048066,0.12885210963333757,0.1191746250727304,0.12191847764108536,True,0.7422632603756948,0.7295743313027009
6,7,30,0,5.20620006087357,0.9459380786338873,0.11452270607057317,0.3590894683576672,0.09205852807810949,0.6640070276362198,True,0.7422632603756948,0.647745817293508
7,7,30,0,28.29219218913462,0.6379006502338179,0.1614313988945823,0.0032216396969803295,0.04143018330734235,0.12073055725873101,True,0.7422632603756948,0.6149474430095643
8,7,30,0,23.667581041314563,0.33661358486570003,0.48530317089575686,0.0574831489505954,0.012697580492914057,0.5757652933607094,True,0.7422632603756948,0.6794302561729614
9,7,30,0,7.767310025920996,0.4979758615646176,0.06043856857618552,0.0026309681142413,0.034919359646720605,0.4616258447108125,True,0.7422632603756948,0.6092589103830152
10,7,30,0,3.4972683816077224,0.48938458357828174,0.01209092681086607,0.2998772607712515,0.017839075030791723,0.01471170536884714,True,0.7422632603756948,0.6570942291568473
11,7,30,0,18.111544722923433,0.8518302389376198,0.15133831338989953,0.11632347038259544,0.5904023142896825,0.5692693418218537,True,0.7422632603756948,0.603958395457233
12,7,30,0,28.35411464985139,0.4636839339507429,0.5983186114696744,0.45552536760851536,0.19033966083199852,0.6223357375785501,True,0.7422632603756948,0.695389620905087
13,7,30,0,26.73369937969428,0.8053060377279972,0.823334435953941,0.1315190450435979,0.02299266985657481,0.31985757384070224,True,0.7422632603756948,0.647745817293508
14,7,30,0,26.060493053248035,0.494126548837983,0.13799508235488941,0.12416790384005874,0.1153524992363022,0.05253615910386064,True,0.7422632603756948,0.7279553652575562
15,7,30,0,21.64400742667635,0.9402040298274761,0.02743728551706076,0.06674656076433765,0.14228498473942364,0.01599489819021584,True,0.7422632603756948,0.5374375020859931
16,7,30,0,26.91293239794222,0.39324857742196784,0.2441643016425486,0.2601036025378833,0.6147080492713471,0.43754240914381326,True,0.7422632603756948,0.633728981173888
17,7,30,0,28.861767934022897,0.09464097370703084,0.08463211354799838,0.06703392759320548,0.17159020811225897,0.0593660344953519,True,0.7422632603756948,0.7279077856240421
18,7,30,0,18.742218613855933,0.8299957420060522,0.15312692825279223,0.1328996099796021,0.5115237645307728,0.001600201261687654,True,0.7422632603756948,0.525267163269713
19,7,30,0,20.959795458113604,0.18629164883934968,0.025959809696713142,0.004289972672995545,0.0015470126159502309,0.029849697772254984,True,0.7422632603756948,0.7248557214829419
20,7,30,0,15.486767716761166,0.19176086385623925,0.19430219304979104,0.02022267137292257,0.056738956109434746,0.21885767981879062,True,0.7422632603756948,0.7336006552859093
21,7,30,0,16.358560452313057,0.46525951931466614,0.03062636960237716,0.05558047376806317,0.0758414701194208,0.2419328758683288,True,0.7422632603756948,0.647745817293508
22,7,30,0,22.26563505687528,0.9153199876377838,0.04570634179428644,0.35394573374720983,0.09564084265606249,0.3463144375045288,True,0.7422632603756948,0.7034925348896625
23,7,30,0,28.30578960795344,0.9859793729096974,0.36695613360880286,0.5844489947755304,0.14403053960261672,0.4308708330041594,True,0.7422632603756948,0.7335124911302092
24,7,30,0,8.085486516575019,0.08322066390648364,0.0015117552964557174,0.43906214175027797,0.2216455330797946,0.008726181961985328,True,0.7422632603756948,0.6529588117134243
25,7,30,0,22.212318765052142,0.9404533900537404,0.39077135250666883,0.29091514778820005,0.417988361747708,0.8999958340262355,True,0.7422632603756948,0.603958395457233
26,7,30,0,15.12759348815006,0.3734824609772506,0.011504984557843637,0.031292298321779266,0.014588149634481077,0.03278552979505515,True,0.7422632603756948,0.7335348351571823
27,7,30,0,5.104147150233839,0.2142037905851305,0.007402311171856271,0.196793995046125,0.1165591161948891,0.006945976341880682,True,0.7422632603756948,0.656205594971027
28,7,30,0,7.366682797962758,0.33102502094606345,0.043340857093704235,0.12116158577224413,0.04594868658097729,0.004055207689810529,True,0.7422632603756948,0.6765072467629131
29,7,30,0,23.627664990289766,0.9391377985208861,0.1533437527053478,0.19113748182277965,0.010495745038115034,0.04005455312518299,True,0.7422632603756948,0.7273889412665625
30,7,30,0,3.6034360718747163,0.7973252533123761,0.05990448738902118,0.1663365873130532,0.43320171165539323,0.10654575236913139,True,0.7422632603756948,0.6057568299964374
31,7,30,0,18.310357532289256,0.7812771235897013,0.2551921035391308,0.1174963507464054,0.5469073580118858,0.020151726919147055,True,0.7422632603756948,0.535391659957635
32,7,30,0,18.960537050478326,0.5164097563821984,0.09127380386604546,0.2784249162421796,0.02505538773662704,0.3456705127880511,True,0.7422632603756948,0.7332472638215145
33,7,30,0,3.8141419977536453,0.7682520217579071,0.10049396215764113,0.14660745980297415,0.16857166710651653,0.23277827396580394,True,0.7422632603756948,0.6367567697411766
34,7,30,0,7.999098616667007,0.7152874048921591,0.13096446187349858,0.037145682660401295,1.3882672819235895,0.032475885456380096,True,0.7422632603756948,0.5227594934053672
35,7,30,0,25.714992966155034,0.5353848189188894,0.13326071625917987,0.08705374523032106,0.3926195093721262,1.2927933772347644,True,0.7422632603756948,0.6149474430095643
36,7,30,0,5.23917594871225,0.6193653525838425,0.22904067612662674,0.11281264868284266,0.015272179635227309,0.06538795934828165,True,0.7422632603756948,0.7266200540453729
37,7,30,0,10.752120002740813,0.22380101635116478,0.18904962154602212,0.5911173374692928,0.04455465278994776,0.10195030839398177,True,0.7422632603756948,0.7229057192386618
38,7,30,0,5.502059513402666,0.5125900723564287,0.032302558742377384,0.2760365960930904,0.46554446427693447,0.2569178139207596,True,0.7422632603756948,0.6057568299964374
39,7,30,0,4.6512315081268625,0.6079453461642329,0.1430362622100759,0.05027271407582591,0.12219689951826188,0.2875763552190996,True,0.7422632603756948,0.6367567697411766
40,7,30,0,16.066049344879804,0.06279569894395276,1.1758506182784836,0.41232950084488007,0.0420021722968819,0.2200288016545378,True,0.7422632603756948,0.7228381357302117
41,7,30,0,10.708050563599476,0.003295669836368087,0.8337528796347917,0.284594745547025,0.7207799257205841,0.07417294288187369,True,0.7422632603756948,0.716376150549005
42,7,30,0,8.238200598554963,0.04158704188447104,0.07411413116013067,0.013489262849701218,0.06587928369780868,0.1702508369337388,True,0.7422632603756948,0.6784944418429294
43,7,30,0,13.98280078318691,0.5238027927649316,0.38121736688882324,0.45216338924672533,0.12351726260180572,0.5432509423831113,True,0.7422632603756948,0.7331147948610538
44,7,30,0,28.291179775903043,0.983706124629298,0.7420581079755733,0.22589375739875658,0.506063607809918,0.2536637248941767,True,0.7422632603756948,0.6054916026877427
45,7,30,0,13.710612907512944,0.6905434049778929,0.447255373161981,0.6213401608256475,0.36535056910325214,0.48802065012315865,True,0.7422632603756948,0.7335124911302092
46,7,30,0,4.766293788490027,0.7865820049949379,0.5816320246869984,0.46469395070789304,0.5024292756392267,0.08486271315049543,True,0.7422632603756948,0.6777055158326291
