Setting,Default training-free,Partial-GT optimized,Gain,n_frames,n_sequences
Full dataset,0.7673166144107992,0.8318289409451404,0.06451232653434114,2315,33
Failure cases excluded,0.7861248423893685,0.8501202459840983,0.06399540359472977,2201,31
