trial,class_id,num_images,min_area_ratio,k_area,t_area,w_area,w_center,w_border,w_sil,sigmoid_on,sam_mean_iou,ours_mean_iou
1,6,30,0,5.422861054178753,0.3375184856140133,0.06878161350717744,0.03731751207333509,0.4025565496519668,0.5515993724451941,True,0.8503077569536285,0.7760255607999834
2,6,30,0,6.788531470494249,0.5387098351234729,0.7839192309434666,0.17201169425278862,0.10461076610370439,0.7848684287982124,True,0.8503077569536285,0.8376055852503941
3,6,30,0,7.125733876887645,0.0042595468274952974,0.005708752408409835,0.05025359542901977,0.02258744449523163,0.0028332458243147704,True,0.8503077569536285,0.7632649206547819
4,6,30,0,3.9357869397738376,0.265813672785029,0.07307414316419542,0.20179732680602017,0.03160218062046364,0.02075094993414856,True,0.8503077569536285,0.7953472061850728
5,6,30,0,12.118855301247963,0.45781132440057015,0.004270657290765452,0.0007068895285786,0.018377703567749055,0.007191093527820292,True,0.8503077569536285,0.8014668344466366
6,6,30,0,15.860972880657133,0.43873117089032687,0.070872279926625,0.5659987440425434,0.06250252478219939,0.022681082143101012,True,0.8503077569536285,0.7492260727781255
7,6,30,0,14.648568379259041,0.041113888005329,0.15105219338550996,0.8628028498692195,0.47245165149060253,0.16213241757813948,True,0.8503077569536285,0.8141618006105086
8,6,30,0,24.479700799104577,0.6530506651171921,0.4525598625113946,0.22639965730334907,1.0259823941930564,0.24938343123161025,True,0.8503077569536285,0.780675443872116
9,6,30,0,18.42712532968925,0.777578802181385,0.46307126037835195,0.16492405440000335,0.004840020551449942,0.32333724249536,True,0.8503077569536285,0.8376055852503941
10,6,30,0,20.707843693866987,0.8023069503250831,0.013341947841906964,0.09561429466366793,0.0595512213717439,0.07221053844046735,True,0.8503077569536285,0.827727633193611
11,6,30,0,5.796067269734747,0.8242858328912636,0.022529960350908273,0.05841983079770479,0.17113883536625155,0.17262934466379537,True,0.8503077569536285,0.8013614235883517
12,6,30,0,21.4392266271744,0.2661849923185383,0.07592443802704477,0.08184165947934664,0.8404477173153636,0.36081528389095374,True,0.8503077569536285,0.8014668344466366
13,6,30,0,7.326012727667925,0.4779330044093596,0.3785598747863079,0.11278706819433747,0.05588114385387951,0.4420318546997001,True,0.8503077569536285,0.8386590036189954
14,6,30,0,13.153075112269757,0.3754504625920041,0.9509315556738241,0.435011118398713,0.3823123735107174,0.0710032979773241,True,0.8503077569536285,0.7680793694577501
15,6,30,0,20.071107156369223,0.6783577248052625,0.34249815009813106,0.1296905404367679,0.18886892740080496,0.6183695699683209,True,0.8503077569536285,0.8102186571145767
16,6,30,0,3.149100792498704,0.7069959377801579,0.133624152817052,0.039093737803501165,0.23700003091918243,0.1253795835112422,True,0.8503077569536285,0.8014668344466366
17,6,30,0,26.138239727268104,0.9309136604033085,0.10370890514227889,0.387677206176899,0.0641376188824542,0.0012121735433933056,True,0.8503077569536285,0.6768799280979909
18,6,30,0,22.971085711267946,0.6775231251773887,0.6764436486755934,0.1800932474718249,0.47184828241648524,0.49458245716204263,True,0.8503077569536285,0.8013614235883517
19,6,30,0,5.527768742883747,0.7904984182517784,0.30503030671939974,0.6554619038200407,0.266017077689699,0.12513714000215317,True,0.8503077569536285,0.8148208117535521
20,6,30,0,12.882991225998481,0.9138053781190474,0.05980221357262755,0.0733608656960841,0.2651706812720478,0.10880816765076982,True,0.8503077569536285,0.8014668344466366
21,6,30,0,27.588494605797305,0.04929186108373351,0.3751078963641084,0.3717090147492435,0.14135010656700847,0.08289005551907133,True,0.8503077569536285,0.827772868602687
22,6,30,0,18.379330182761795,0.3506045483953595,0.26485363574709236,0.19123342233908716,0.18476397007708015,0.04635903006923252,True,0.8503077569536285,0.7912267373822587
23,6,30,0,3.7184525816703076,0.033364296052981746,0.02680928211538545,0.48233429783072124,0.301990350187029,0.48019017514678086,True,0.8503077569536285,0.827727633193611
